Tx	Ty	Tz
-0.1711	-0.0375	-0.0358
-0.1157	0.1271	0.0342
0.0456	0.2199	-0.0717
-0.1149	0.0554	0.0342
-0.0562	0.0929	-0.0717
0.0554	-0.0505	-0.0358
-0.1711	-0.0375	-0.0358
-0.1157	0.1271	0.0342
-0.1018	0.0587	-0.0016
0	0	0
-0.0619	0.0342	0
-0.1686	-0.0375	0.0701
0.0008	0.114	-0.0016
-0.1686	0.1483	0.0684
0.057	0.2069	0.0684
0.057	0.0212	0.0701
-0.0049	0.0554	0.0701
-0.114	-0.0163	0.0342
-0.1116	-0.0163	0.1401
-0.0049	0.0554	0.0701
-0.0049	0.0554	0.0701
-0.0505	0.0212	0.1401
0.0562	0.0929	0.0701
-0.0529	0.0212	0.0342
-0.0611	-0.0375	0
-0.2778	0.4774	0.1369
0.057	0.0212	0.0701
-0.1067	0.114	0.0684
-0.0538	0.0929	0.0342
-0.2876	0.1613	-0.0016
-0.1157	0.1271	0.0342
-0.0538	0.0929	0.0342
0.0562	0.0929	0.0701
-0.1149	0.0554	0.0342
-0.0562	0.0929	-0.0717
-0.0619	0.0342	0
-0.0081	-0.0587	-0.0342
-0.1157	0.1271	0.0342
0.0033	0.114	0.1043
-0.1776	0.1613	0.0342
-0.1067	0.114	0.0684
-0.11	0	-0.0358
0.0033	0.114	0.1043
-0.0538	-0.0929	0.0358
-0.1067	0.114	0.0684
-0.0049	0.0554	0.0701
-0.0587	-0.0375	0.1059
-0.0587	0.1483	0.1043
0.0489	0.1483	0.0342
-0.1238	0.0684	0
-0.1149	0.0554	0.0342
-0.0049	0.0554	0.0701
-0.0529	0.0212	0.0342
-0.0611	-0.0375	0
-0.1149	0.0554	0.0342
0.0008	-0.0717	0
-0.11	0	-0.0358
-0.1637	0.0929	-0.0016
-0.11	0	-0.0358
-0.1181	0.1271	-0.0717
0	0	0
-0.2256	0.1271	-0.0016
-0.0554	-0.1646	-0.0701
-0.1686	-0.0375	0.0701
-0.1719	0.2199	-0.0375
0.0464	-0.0375	-0.0701
-0.11	0	-0.0358
-0.1026	-0.0554	0
0.0008	0.114	-0.0016
-0.1149	0.0554	0.0342
-0.0529	0.0212	0.0342
-0.0595	0.2199	0.1043
-0.0049	0.0554	0.0701
-0.1149	0.0554	0.0342
-0.0049	0.0554	0.0701
-0.2256	0.1271	-0.0016
-0.0049	0.0554	0.0701
-0.1149	0.0554	0.0342
0.057	0.0212	0.0701
-0.0049	0.0554	0.0701
0.1645	0.2069	-0.0016
0.0033	-0.0717	0.1059
-0.1173	0.0554	-0.0717
0.0008	0.114	-0.0016
-0.1727	0.2916	-0.0375
-0.009	0.1988	-0.0358
-0.1727	0.1059	-0.0358
-0.0081	0.1271	-0.0358
-0.0692	0.0896	-0.0358
-0.2256	0.1271	-0.0016
0.0546	-0.1646	-0.0342
-0.0562	0.0929	-0.0717
0.0008	-0.0717	0
-0.0081	0.1271	-0.0358
-0.1719	0.2199	-0.0375
0.0538	0.0929	-0.0358
-0.2256	0.1271	-0.0016
-0.2248	0.0554	-0.0016
0.057	0.0212	0.0701
-0.2248	0.0554	-0.0016
0.0578	-0.0505	0.0701
-0.0049	0.0554	0.0701
-0.0627	0.1059	0
-0.1157	0.1271	0.0342
0.0546	0.0212	-0.0358
0.0065	-0.013	-0.0717
-0.1157	0.1271	0.0342
-0.1149	0.0554	0.0342
0.0562	0.0929	0.0701
-0.1711	0.1483	-0.0375
0.0008	0.114	-0.0016
-0.0081	0.1271	-0.0358
-0.1189	0.013	-0.0701
-0.1181	-0.0587	-0.0701
-0.0081	0.1271	-0.0358
-0.0635	0.3633	-0.0016
-0.1181	-0.0587	-0.0701
-0.0611	-0.0375	0
-0.2256	0.1271	-0.0016
0.0529	0.1645	-0.0358
-0.11	0	-0.0358
-0.0619	0.2199	-0.0016
-0.0611	-0.0375	0
-0.0538	0.0929	0.0342
0	0	0
0.0489	0.1483	0.0342
-0.1719	0.2199	-0.0375
-0.1092	-0.0717	-0.0358
-0.1149	0.0554	0.0342
-0.1157	0.1271	0.0342
-0.1149	0.0554	0.0342
-0.0611	-0.0375	0
-0.2273	0.0554	-0.1075
0.0994	0.3128	-0.1075
-0.1149	0.0554	0.0342
-0.1173	0.0554	-0.0717
-0.1157	0.1271	0.0342
0.1092	0.2574	0.0342
0.0627	-0.1059	0
-0.0619	0.0342	0
