Tx	Ty	Tz
-0.2175	0	0.0342
0	0	0
0.11	0	0.0358
0.0562	0.0929	0.0701
0.2199	0	0.0717
0.11	0	0.0358
0.0562	-0.0929	0.0717
-0.1637	-0.0929	0
-0.0538	0.0929	0.0342
-0.1157	-0.0587	0.0358
0.0481	0.0342	0.0358
0	0	0
-0.0538	-0.0929	0.0358
-0.0538	-0.0929	0.0358
0.1124	0	0.1417
0	0	0
0.0562	-0.0929	0.0717
0.1637	-0.0929	0.0016
-0.0057	-0.0587	0.0717
0.0562	-0.0929	0.0717
0.1181	0.0587	0.0701
0.11	0	0.0358
0.0562	-0.0929	0.0717
0.11	0	0.0358
0	0	0
0	0	0
0.11	0	0.0358
0	0	0
0.11	-0.1857	0.0375
0.11	0	0.0358
0.0538	-0.2786	-0.0326
-0.0538	-0.0929	0.0358
-0.2175	0	0.0342
0	0	0
0	0	0
-0.0538	0.0929	0.0342
0.1719	-0.0342	0.0358
0.1181	-0.1271	0.0717
-0.1075	0	0.0701
-0.1075	0	0.0701
-0.0538	-0.0929	0.0358
-0.1157	-0.0587	0.0358
-0.1637	-0.0929	0
0	0	0
0.1124	0	0.1417
-0.1157	0.1271	0.0342
-0.0619	-0.1515	0.0016
0.11	0	0.0358
0.0481	0.0342	0.0358
0.11	0	0.0358
0.11	0	0.0358
0.0481	0.0342	0.0358
0.1637	-0.0929	0.0016
0.1719	-0.0342	0.0358
0.0538	-0.0929	-0.0342
0.11	0	0.0358
-0.0538	-0.0929	0.0358
-0.0538	-0.0929	0.0358
0.11	0	0.0358
-0.1637	0.0929	-0.0016
-0.0619	0.0342	0
-0.1637	-0.0929	0
0.11	0	0.0358
0.11	0	0.0358
0.11	0	0.0358
-0.0538	-0.0929	0.0358
0	0	0
0.1662	0.0929	0.1059
0.0538	-0.0929	-0.0342
0.1637	-0.2786	0.0033
-0.0538	0.0929	0.0342
0.0562	-0.0929	0.0717
0.0481	0.0342	0.0358
0.0538	-0.0929	-0.0342
0.2199	0	0.0717
0.0562	-0.0929	0.0717
-0.0057	0.1271	0.0701
0.0481	0.0342	0.0358
-0.0619	0.0342	0
0.11	0	0.0358
-0.1157	-0.0587	0.0358
0.11	0	0.0358
0.1018	-0.0587	0.0016
0.0481	0.0342	0.0358
0.11	0	0.0358
0	0	0
-0.0538	-0.0929	0.0358
0.11	0	0.0358
0	0	0
0.11	0	0.0358
0.1018	-0.0587	0.0016
0.0538	-0.0929	-0.0342
-0.0538	-0.0929	0.0358
0.0562	-0.0929	0.0717
0.2175	0	-0.0342
0	0	0
0.0562	0.0929	0.0701
-0.0538	-0.0929	0.0358
0.11	0	0.0358
0.0562	-0.0929	0.0717
-0.1157	-0.0587	0.0358
0.0619	-0.0342	0
0	0	0
0	0	0
0.0481	0.0342	0.0358
0	-0.1857	0.0016
0.0456	0.0342	-0.0701
-0.0538	-0.0929	0.0358
0.0562	-0.0929	0.0717
0	0	0
0.0619	-0.0342	0
-0.0619	-0.1515	0.0016
0.11	0	0.0358
0	0	0
0.0562	0.0929	0.0701
-0.0538	0.0929	0.0342
0.0538	-0.0929	-0.0342
0.11	0	0.0358
0	0	0
-0.1075	0	0.0701
0	0	0
0.11	0	0.0358
-0.1719	0.0342	-0.0358
-0.0595	0.0342	0.1059
0.11	0	0.0358
0.0562	-0.0929	0.0717
0	0	0
-0.0538	-0.0929	0.0358
-0.0538	-0.0929	0.0358
-0.11	0	-0.0358
-0.11	0	-0.0358
-0.0057	-0.0587	0.0717
0	0	0
0	0	0
0	0	0
0	0	0
0.0562	0.0929	0.0701
-0.1719	-0.1515	-0.0342
0.0024	0	0.1059
0.0481	0.0342	0.0358
-0.0595	0.0342	0.1059
0.0481	0.0342	0.0358
-0.0538	-0.0929	0.0358
-0.0619	0.0342	0
-0.0538	-0.0929	0.0358
0	0	0
0.0538	-0.0929	-0.0342
0.1157	-0.1271	-0.0342
